,missed sales 0,missed sales 1,missed sales 2,missed sales 3,missed sales 4,missed sales 5,missed sales 6,missed sales 7,missed sales 8,missed sales 9
142,10,2,2,3,2,4,4,10,2,13
143,10,2,3,3,2,4,4,10,2,13
144,10,2,3,3,2,4,4,10,2,13
145,10,2,3,3,2,4,4,10,2,13
146,10,2,3,3,2,4,4,10,2,13
147,10,2,3,3,2,4,4,10,2,13
148,10,2,3,3,2,4,4,10,2,13
149,10,2,3,3,2,4,4,10,2,14
150,10,2,3,3,2,4,4,10,2,14
151,10,2,3,3,2,4,4,10,2,14
152,10,2,3,3,2,4,4,10,2,14
153,10,2,3,3,2,4,4,10,2,14
154,11,2,3,3,2,4,4,10,2,14
155,11,2,3,3,2,4,4,10,2,14
156,11,2,3,3,2,4,4,10,2,14
157,11,2,3,3,2,4,4,10,2,14
158,11,2,3,3,2,4,4,10,2,14
159,11,2,3,3,2,4,4,10,2,14
160,11,2,3,3,2,4,4,10,2,14
161,11,2,3,4,2,4,4,10,2,14
162,11,2,3,4,2,4,4,10,2,14
163,11,3,3,5,2,4,4,10,2,14
164,11,3,3,5,2,4,4,10,2,15
165,11,4,3,5,2,4,4,10,2,15
166,11,4,3,5,2,4,4,10,2,16
167,11,4,3,5,2,4,4,10,2,16
168,11,4,3,5,2,4,4,10,2,16
169,11,4,3,5,2,4,4,10,3,16
170,11,4,3,5,2,4,4,10,3,16
171,11,4,3,5,2,4,4,10,3,16
172,11,4,3,5,2,4,4,10,3,16
173,11,4,3,5,2,4,4,10,4,16
174,11,4,3,5,2,4,4,10,4,16
175,11,4,3,6,2,4,4,10,4,16
176,11,4,3,6,2,4,4,10,4,16
177,11,4,3,7,2,4,4,10,4,16
178,11,4,3,7,2,4,4,10,4,16
179,11,5,3,7,2,4,4,10,4,16
180,11,5,3,7,2,4,4,10,4,16
181,11,6,3,7,2,4,4,10,4,16
182,11,6,3,7,2,4,4,10,5,16
183,11,7,3,7,2,4,4,10,5,16
184,11,7,3,7,2,4,4,10,5,16
185,11,7,3,7,2,4,4,10,5,16
186,11,7,3,7,2,4,4,10,6,16
187,11,7,3,7,2,4,4,10,6,16
188,11,7,3,7,2,4,4,10,7,16
189,11,7,3,7,2,5,4,10,7,16
190,11,7,3,7,2,5,4,10,7,16
191,11,8,3,7,3,5,4,10,7,16
192,11,8,3,7,3,5,4,10,7,16
193,11,8,3,7,3,5,4,10,8,16
194,11,9,3,7,3,5,4,10,8,16
195,11,9,3,7,3,5,4,10,9,16
196,11,10,3,7,3,5,4,10,9,16
197,11,10,3,7,3,5,4,10,9,16
198,11,10,3,7,3,6,4,10,9,16
199,11,11,3,7,3,6,4,10,9,16
200,11,11,3,7,3,6,4,10,9,16
201,11,11,3,7,4,6,4,11,9,16
202,11,11,3,7,4,6,4,11,10,16
203,11,11,3,7,4,6,4,11,10,16
204,11,11,3,7,4,6,4,12,10,16
205,11,11,3,7,4,6,4,12,10,16
206,11,11,3,7,4,6,4,12,10,16
207,11,12,3,7,4,6,4,12,10,16
208,11,12,3,7,4,6,4,12,10,16
209,12,12,3,7,4,6,4,12,10,16
210,12,13,3,7,4,6,4,13,10,16
211,13,13,3,7,4,6,4,13,10,16
212,13,14,3,7,4,6,4,13,10,16
213,13,14,3,7,4,6,4,13,11,16
214,13,14,3,7,4,6,4,13,11,16
215,13,14,3,7,4,6,4,13,11,16
216,13,14,3,7,4,6,4,13,11,16
217,13,15,3,7,4,6,4,13,11,16
218,13,15,3,7,4,6,4,13,11,16
219,13,15,3,7,4,6,4,13,11,16
220,13,15,3,7,4,6,4,13,12,16
221,13,15,3,7,4,6,4,13,12,16
222,13,15,3,7,4,6,4,13,12,16
223,13,15,3,7,4,6,4,13,13,16
224,13,15,3,7,4,6,4,13,13,16
225,13,15,3,7,4,6,4,13,13,16
226,13,15,3,7,4,6,5,13,13,16
227,13,15,3,8,4,6,6,13,14,16
228,13,15,3,8,4,6,6,13,14,16
229,13,15,3,8,4,6,6,13,15,16
230,13,15,3,8,4,6,6,13,15,16
231,13,15,3,8,4,6,6,13,16,16
232,13,15,3,8,4,6,6,13,16,16
233,13,15,4,8,4,6,6,13,16,16
234,13,15,4,8,4,6,6,13,17,16
235,13,15,4,8,4,6,6,13,17,16
236,13,15,4,9,4,6,6,13,17,16
237,13,15,4,9,4,6,6,13,17,16
238,13,15,4,9,4,6,6,13,18,16
239,13,15,5,9,4,6,6,13,18,16
240,13,15,5,9,4,6,6,13,18,16
241,13,15,5,10,4,6,6,13,18,16
242,13,15,5,10,4,6,6,13,18,16
243,13,15,5,11,4,6,6,13,18,16
244,13,15,6,11,4,6,6,13,18,16
245,13,15,6,12,4,6,6,13,18,16
246,13,15,7,12,4,6,6,13,18,16
247,13,15,7,12,4,6,6,13,18,16
248,13,15,8,12,4,6,6,13,18,16
249,13,15,8,13,4,6,6,13,18,16
250,13,15,8,13,4,6,6,13,18,16
251,13,15,8,13,4,6,6,13,18,16
252,13,15,8,13,4,6,6,13,18,16
253,13,15,8,13,4,6,6,13,18,16
254,13,15,8,13,4,6,6,13,18,16
255,13,15,8,13,4,6,6,13,18,16
256,13,15,8,13,4,6,6,13,18,16
257,13,15,8,13,4,6,6,13,18,16
258,13,15,8,13,4,6,6,13,18,16
259,13,15,8,13,4,6,6,13,18,16
260,13,15,8,13,4,6,6,13,18,17
261,13,15,8,13,4,6,6,13,18,18
262,13,15,8,13,4,6,6,13,18,18
263,13,15,8,13,4,6,6,13,18,18
264,13,15,8,13,4,6,6,13,18,18
265,13,15,8,13,4,6,6,13,18,18
266,13,15,8,13,4,6,6,14,18,18
267,13,15,8,13,4,6,6,15,18,18
268,13,15,8,13,4,6,6,15,18,18
269,13,15,8,13,4,6,6,15,18,18
270,13,15,8,13,4,6,6,15,18,18
271,13,15,8,13,4,6,6,15,18,18
272,13,15,8,13,4,6,6,15,18,18
273,14,15,8,13,4,6,6,15,18,18
274,14,15,8,13,4,6,6,15,18,18
275,14,15,8,13,4,6,6,15,18,18
276,14,15,8,13,4,7,6,15,18,18
277,14,15,8,13,4,7,6,15,18,18
278,14,15,8,13,4,7,6,15,18,19
279,14,15,8,13,4,8,6,15,18,19
280,14,15,8,13,4,8,6,15,18,20
281,14,15,8,13,4,8,6,15,18,20
282,14,15,8,13,4,8,6,15,18,20
283,14,15,8,13,4,8,6,15,18,20
284,14,15,8,13,4,8,6,15,18,20
285,14,15,8,13,4,8,6,15,18,20
286,14,15,8,13,4,8,6,15,18,20
287,14,15,8,13,4,8,6,15,18,20
288,14,15,8,13,4,8,6,15,18,20
289,14,15,8,13,4,8,6,15,18,20
290,15,15,8,13,4,8,6,15,18,20
291,15,15,8,13,4,8,6,15,18,20
292,15,15,8,13,4,8,6,15,18,20
293,15,15,8,14,4,8,6,15,18,20
294,15,16,8,14,4,8,6,15,18,20
295,15,17,8,14,4,8,6,15,18,20
296,16,17,8,14,4,8,6,15,18,20
297,16,17,8,14,4,8,6,15,18,20
298,16,17,8,15,4,8,6,15,18,20
299,16,17,8,15,4,8,6,15,18,20
300,17,17,8,15,4,8,6,15,18,20
301,17,17,8,15,4,8,6,15,18,20
302,17,18,8,15,4,8,6,15,18,20
303,18,18,8,15,4,8,6,15,18,20
304,18,18,8,15,4,8,6,15,18,20
305,18,18,8,15,4,8,6,15,18,20
306,18,18,8,15,4,8,6,15,18,20
307,18,18,8,15,4,8,6,15,19,20
308,18,18,8,15,4,8,6,15,19,20
309,18,18,8,15,4,8,6,15,19,20
310,18,18,8,15,4,8,6,15,19,20
311,18,18,8,15,4,8,6,15,19,20
312,18,18,8,15,4,8,6,15,19,20
313,18,18,8,15,4,8,6,15,19,20
314,18,18,8,15,4,8,6,15,20,20
315,18,18,8,15,4,8,6,15,20,20
316,18,18,8,15,5,8,6,15,20,20
317,18,18,8,15,5,8,6,15,20,20
318,18,18,8,15,6,8,6,15,20,20
319,18,18,8,15,6,8,7,15,20,20
320,18,18,8,15,6,8,7,15,20,20
321,18,18,8,15,6,8,7,15,20,20
